elementName	stage1-3	stage13-16	stage4-6	stage9-10	stage11-12	stage7-8	allTerms
Ndg					"FBbt:00005073,somatic muscle; FBbt:00005518,somatic muscle primordium"		"FBbt:00005084,muscle founder cell; FBbt:00005518,somatic muscle primordium; FBbt:00005649,embryonic somatic muscle"
lab_HZ550_NR			FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005397,embryonic epidermis; FBbt:00001882,embryonic/larval midgut; FBbt:00000444,anterior midgut primordium; FBbt:00000125,endoderm; FBbt:00005624,embryonic/larval midgut primordium; FBbt:00000095,amnioserosa"
brk-shadow			FBbt:00004204,ventral ectoderm anlage	FBbt:00005554,ventral nerve cord primordium		"FBbt:00005558,ventral ectoderm; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005558,ventral ectoderm; FBbt:00004204,ventral ectoderm anlage; FBbt:00005554,ventral nerve cord primordium"
Acon		"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005073,somatic muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005073,somatic muscle; FBbt:00005518,somatic muscle primordium"	FBbt:0000611,NA	"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005518,somatic muscle primordium; FBbt:00000462,embryonic/larval muscle system; FBbt:00005647,presumptive embryonic/larval muscle system"
Or67d_236							"FBbt:00004173,sensillum trichodeum of antennal segment 3; FBbt:00004158,maxillary palp sense organ; FBbt:00004174,sensillum basiconicum of antennal segment 3; FBbt:00004177,sensillum coeloconicum of antennal segment 3; FBbt:00005926,olfactory receptor neuron"
ttk(early)		FBbt:00005073,somatic muscle	FBbt:0000611,NA	"FBbt:00000128,trunk mesoderm; FBbt:00000126,mesoderm"	"FBbt:00000126,mesoderm; FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium; FBbt:00005073,somatic muscle"	FBbt:00000128,trunk mesoderm	"FBbt:00000128,trunk mesoderm; FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium"
ttk_SVM2		FBbt:00005073,somatic muscle	FBbt:0000611,NA	"FBbt:00000128,trunk mesoderm; FBbt:00000126,mesoderm"	"FBbt:00000126,mesoderm; FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium; FBbt:00005073,somatic muscle"	FBbt:00000128,trunk mesoderm	"FBbt:00000130,visceral mesoderm; FBbt:00000129,somatic mesoderm; FBbt:00000463,embryonic myoblast"
lbl_SBM					"FBbt:00005073,somatic muscle; FBbt:00005518,somatic muscle primordium"		"FBbt:00005084,muscle founder cell; FBbt:00005518,somatic muscle primordium; FBbt:00005649,embryonic somatic muscle; FBbt:00000941,abdominal 7 segment border muscle"
Prm_(-1.7/-1.4)PM		FBbt:00005073,somatic muscle					"FBbt:00000462,embryonic/larval muscle system; FBbt:00004073,tergal depressor of trochanter muscle motor neuron; FBbt:00000588,hypodermal muscle of abdomen; FBbt:00005070,visceral muscle; FBbt:00003379,direct flight muscle; FBbt:00003318,skeletal muscle of leg"
Prm_-1.7/-0.76_NR		FBbt:00005073,somatic muscle					"FBbt:00003404,mesothoracic extracoxal depressor muscle 66; FBbt:00000464,embryonic/larval somatic muscle; FBbt:00000462,embryonic/larval muscle system; FBbt:00000588,hypodermal muscle of abdomen; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005647,presumptive embryonic/larval muscle system; FBbt:00003379,direct flight muscle"
bab2_bab2_+42							FBbt:00001727,larva
bab2_bab2_+47							FBbt:00001727,larva
CG14687		"FBbt:00005073,somatic muscle; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005073,somatic muscle; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005519,visceral muscle primordium; FBbt:00005647,presumptive embryonic/larval muscle system; FBbt:00000462,embryonic/larval muscle system"
h_stripe_3+4_ET22			FBbt:00000126,mesoderm				FBbt:00005304,blastoderm embryo
sv_SME							"FBbt:00004193,cone cell; FBbt:00004510,ommatidium; FBbt:00001768,eye disc"
vn_st10		FBbt:00005070,visceral muscle	FBbt:0000611,NA	FBbt:00000126,mesoderm	"FBbt:00005519,visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	"FBbt:00005036,tracheal pit; FBbt:00000111,ectoderm"
vn_1		FBbt:00005070,visceral muscle	FBbt:0000611,NA	FBbt:00000126,mesoderm	"FBbt:00005519,visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:00005519,visceral muscle primordium
ind_moduleA_NR							"FBbt:00005304,blastoderm embryo; FBbt:00000111,ectoderm; FBbt:00005427,ectoderm anlage"
ind_moduleC							"FBbt:00000121,lateral ectoderm; FBbt:00001061,ventral neurectoderm; FBbt:00000112,dorsal ectoderm"
hand_1		"FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005072,circular visceral muscle fiber; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00017015,circular visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	"FBbt:00000130,visceral mesoderm; FBbt:00017015,circular visceral muscle primordium; FBbt:00017015,circular visceral muscle primordium; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005072,circular visceral muscle fiber"
hand		"FBbt:00001673,embryonic/larval dorsal vessel; FBbt:00005541,cardiogenic mesoderm; FBbt:00005072,circular visceral muscle fiber; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00017015,circular visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	"FBbt:00001673,embryonic/larval dorsal vessel; FBbt:00017015,circular visceral muscle primordium; FBbt:00005704,embryonic garland cell; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005072,circular visceral muscle fiber"
Hand_HCH		FBbt:00005541,cardiogenic mesoderm					"FBbt:00005680,embryonic dorsal vessel; FBbt:00005684,heart primordium; FBbt:00001673,embryonic/larval dorsal vessel; FBbt:00001675,embryonic/larval heart; FBbt:00005678,embryonic pericardial cell; FBbt:00001667,embryonic/larval pericardial cell; FBbt:00001722,ring gland; FBbt:00001666,cardioblast"
tatl_pPd141/32							"FBbt:00004858,gonad; FBbt:00001878,embryonic/larval salivary gland; FBbt:00000462,embryonic/larval muscle system; FBbt:00001761,imaginal disc; FBbt:00001842,embryonic/larval digestive system; FBbt:00007000,appendage; FBbt:00001919,embryonic/larval central nervous system; FBbt:00005398,embryonic/larval epidermis; FBbt:00001920,embryonic/larval brain; FBbt:00001722,ring gland"
CG5080		"FBbt:00005073,somatic muscle; FBbt:00000464,embryonic/larval somatic muscle; FBbt:00000489,dorsal pharyngeal muscle; FBbt:00001667,embryonic/larval pericardial cell; FBbt:00005541,cardiogenic mesoderm"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005073,somatic muscle	FBbt:0000611,NA	"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00000489,dorsal pharyngeal muscle; FBbt:00001667,embryonic/larval pericardial cell"
Dfd_NAE			FBbt:0000611,NA	FBbt:0000611,NA		FBbt:0000611,NA	"FBbt:00005558,ventral ectoderm; FBbt:00001056,presumptive embryonic/larval central nervous system; FBbt:00001086,embryonic mandibular neuromere; FBbt:00001911,embryonic/larval nervous system"
dpp_P1delta2							"FBbt:00000123,amnioproctodeal invagination; FBbt:00004993,epidermis; FBbt:00000130,visceral mesoderm; FBbt:00000098,anterior transverse furrow; FBbt:00000121,lateral ectoderm; FBbt:00000125,endoderm; FBbt:00000097,cephalic furrow"
dpp_core_promoter							"FBbt:00005428,dorsal ectoderm anlage; FBbt:00005397,embryonic epidermis; FBbt:00005526,dorsal epidermis primordium"
dpp_phasesII/III_NR							"FBbt:00005428,dorsal ectoderm anlage; FBbt:00005304,blastoderm embryo; FBbt:00005526,dorsal epidermis primordium; FBbt:00000111,ectoderm; FBbt:00005397,embryonic epidermis"
Fbp1							FBbt:00001704,embryonic/larval fat body
vnd_-4.7/-2.8			FBbt:0000611,NA			"FBbt:00005558,ventral ectoderm; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00001332,embryonic neuroblast; FBbt:00005149,ganglion mother cell; FBbt:00001384,neuroblast NB1-2; FBbt:00001424,neuroblast NB5-1; FBbt:00001398,neuroblast NB6-1; FBbt:00001410,neuroblast NB2-1; FBbt:00001376,neuroblast NB5-2; FBbt:00001380,neuroblast NB7-1; FBbt:00001382,neuroblast MP2; FBbt:00001397,neuroblast NB4-1; FBbt:00001394,neuroblast NB3-1"
vnd_A							"FBbt:00001332,embryonic neuroblast; FBbt:00001384,neuroblast NB1-2; FBbt:00001082,embryonic ventral nervous system; FBbt:00001397,neuroblast NB4-1; FBbt:00001410,neuroblast NB2-1; FBbt:00001394,neuroblast NB3-1"
vnd-mc			FBbt:0000611,NA			"FBbt:00005558,ventral ectoderm; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005558,ventral ectoderm; FBbt:00005554,ventral nerve cord primordium"
Abd-B_R20							FBbt:00005304,blastoderm embryo
Abd-B_EK							
sev_minimal							"FBbt:00004229,mystery cell; FBbt:00004219,photoreceptor cell R4; FBbt:00004217,photoreceptor cell R3; FBbt:00004225,photoreceptor cell R7; FBbt:00001768,eye disc"
sev_construct19							FBbt:00004229,mystery cell
Mef2_GE491		FBbt:00005541,cardiogenic mesoderm					"FBbt:00000487,pharyngeal muscle; FBbt:00001666,cardioblast"
ush_‰öÕ1421/‰öÕ25							"FBbt:00001685,plasmatocyte; FBbt:00001690,crystal cell; FBbt:00005624,embryonic/larval midgut primordium; FBbt:00005247,embryonic hemocyte primordium"
Or47b_419							"FBbt:00004158,maxillary palp sense organ; FBbt:00004173,sensillum trichodeum of antennal segment 3; FBbt:00005386,glomerulus; FBbt:00004174,sensillum basiconicum of antennal segment 3; FBbt:00005926,olfactory receptor neuron"
Mef2 IEd5		"FBbt:00001035,embryonic/larval visceral muscle; FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005073,somatic muscle; FBbt:00000462,embryonic/larval muscle system; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005073,somatic muscle; FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	"FBbt:00001035,embryonic/larval visceral muscle; FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005518,somatic muscle primordium; FBbt:00000462,embryonic/larval muscle system; FBbt:00005519,visceral muscle primordium"
Mef2_ecdysoneRE-small				"FBbt:00000128,trunk mesoderm; FBbt:00005073,somatic muscle; FBbt:00000127,head mesoderm; FBbt:00005541,cardiogenic mesoderm; FBbt:00005070,visceral muscle"	"FBbt:00005498,dorsal pharyngeal muscle primordium; FBbt:00005070,visceral muscle; FBbt:00005518,somatic muscle primordium; FBbt:00005541,cardiogenic mesoderm; FBbt:00005073,somatic muscle"		"FBbt:00005498,dorsal pharyngeal muscle primordium; FBbt:00000463,embryonic myoblast; FBbt:00005518,somatic muscle primordium; FBbt:00000127,head mesoderm; FBbt:00000128,trunk mesoderm; FBbt:00005541,cardiogenic mesoderm"
Mef2_I-E		"FBbt:00005073,somatic muscle; FBbt:00005541,cardiogenic mesoderm; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005073,somatic muscle	FBbt:0000611,NA	"FBbt:00001666,cardioblast; FBbt:00000463,embryonic myoblast"
Mef2_I-D[L]_NR			FBbt:0000611,NA	FBbt:00000126,mesoderm	FBbt:00000126,mesoderm	FBbt:0000611,NA	"FBbt:00000104,mesoderm anlage; FBbt:00005518,somatic muscle primordium; FBbt:00003225,adepithelial cell of wing disc; FBbt:00000126,mesoderm; FBbt:00003219,adepithelial cell; FBbt:00000128,trunk mesoderm; FBbt:00000129,somatic mesoderm"
nerfin-1_fragment6							"FBbt:00005149,ganglion mother cell; FBbt:00005106,neuron; FBbt:00001332,embryonic neuroblast; FBbt:00001919,embryonic/larval central nervous system; FBbt:00001768,eye disc; FBbt:00001082,embryonic ventral nervous system; FBbt:00001369,neuroblast of ventral nerve cord primordium; FBbt:00005098,peripheral nervous system; FBbt:00005094,central nervous system; FBbt:00005146,neuroblast"
hb_lateDm1.0-lacZ			FBbt:00000126,mesoderm				FBbt:00005304,blastoderm embryo
ken		"FBbt:00001056,presumptive embryonic/larval central nervous system; FBbt:00001911,embryonic/larval nervous system; FBbt:00005512,salivary gland body primordium; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00001878,embryonic/larval salivary gland; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00001056,presumptive embryonic/larval central nervous system; FBbt:00001911,embryonic/larval nervous system; FBbt:00005500,foregut visceral muscle primordium; FBbt:00000111,ectoderm; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00001878,embryonic/larval salivary gland; FBbt:00005606,embryonic foregut; FBbt:00005620,presumptive embryonic salivary gland"
Sox15_regionC							FBbt:00005171,tormogen cell
Sox15_regionB							FBbt:00005171,tormogen cell
Sox15_regionA							FBbt:00005171,tormogen cell
htl		"FBbt:00001673,embryonic/larval dorsal vessel; FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005073,somatic muscle; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005541,cardiogenic mesoderm"	"FBbt:00005436,trunk mesoderm anlage; FBbt:00000126,mesoderm; FBbt:00000104,mesoderm anlage; FBbt:00005548,head mesoderm anlage"	"FBbt:00000128,trunk mesoderm; FBbt:00000126,mesoderm; FBbt:00000127,head mesoderm"	"FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium; FBbt:00005073,somatic muscle; FBbt:00000127,head mesoderm; FBbt:00000126,mesoderm; FBbt:00000128,trunk mesoderm"	"FBbt:00000128,trunk mesoderm; FBbt:00000126,mesoderm; FBbt:00000127,head mesoderm"	"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005518,somatic muscle primordium; FBbt:00001673,embryonic/larval dorsal vessel; FBbt:00000104,mesoderm anlage; FBbt:00005519,visceral muscle primordium; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00000127,head mesoderm; FBbt:00005548,head mesoderm anlage; FBbt:00005436,trunk mesoderm anlage; FBbt:00000128,trunk mesoderm"
CG13196_1kb_5							"FBbt:00017010,dorsal trunk primordium; FBbt:00005581,dorsal branch primordium; FBbt:00005578,lateral trunk primordium; FBbt:00005574,tracheal branch primordium"
CG13196_D92							FBbt:00005052,tracheal fusion cell
HLH54F		"FBbt:00005071,longitudinal visceral muscle fiber; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00017008,longitudinal visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	"FBbt:00005499,hindgut visceral muscle primordium; FBbt:00017008,longitudinal visceral muscle primordium; FBbt:00005071,longitudinal visceral muscle fiber; FBbt:00017008,longitudinal visceral muscle primordium"
HLH54F_HLH54Fd-GAL4		"FBbt:00005071,longitudinal visceral muscle fiber; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00017008,longitudinal visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:0000611,NA	"FBbt:00000104,mesoderm anlage; FBbt:00017008,longitudinal visceral muscle primordium"
e_A.1							"FBbt:00004644,femur; FBbt:00004640,leg"
e_A.4							"FBbt:00005179,macrochaeta; FBbt:00004476,tergite; FBbt:00004644,femur; FBbt:00004640,leg"
Sgs4_-568/-149							"FBbt:00005066,fat body; FBbt:00005382,salivary gland"
Sgs4							"FBbt:00005620,presumptive embryonic salivary gland; FBbt:00001878,embryonic/larval salivary gland; FBbt:00005382,salivary gland"
Est-6_D-201							"FBbt:00004968,vas deferens; FBbt:00007134,head air sac; FBbt:00004959,male accessory gland; FBbt:00004965,ejaculatory duct; FBbt:00003101,tracheal air sac; FBbt:00004962,ejaculatory bulb; FBbt:00004511,antenna; FBbt:00005043,trachea; FBbt:00004546,maxillary palpus; FBbt:00004928,testis"
Est-6_D-511							"FBbt:00004489,prefrons; FBbt:00004962,ejaculatory bulb; FBbt:00004546,maxillary palpus; FBbt:00004511,antenna; FBbt:00005382,salivary gland"
Est-6_D-403							"FBbt:00004968,vas deferens; FBbt:00005382,salivary gland; FBbt:00007134,head air sac; FBbt:00004959,male accessory gland; FBbt:00004965,ejaculatory duct; FBbt:00003101,tracheal air sac; FBbt:00004962,ejaculatory bulb; FBbt:00004511,antenna; FBbt:00004489,prefrons; FBbt:00005043,trachea; FBbt:00004546,maxillary palpus; FBbt:00004928,testis"
Est-6_D-1132							"FBbt:00004968,vas deferens; FBbt:00005382,salivary gland; FBbt:00007134,head air sac; FBbt:00004959,male accessory gland; FBbt:00004965,ejaculatory duct; FBbt:00003101,tracheal air sac; FBbt:00004962,ejaculatory bulb; FBbt:00004511,antenna; FBbt:00004489,prefrons; FBbt:00005043,trachea; FBbt:00004546,maxillary palpus; FBbt:00004928,testis"
Est-6_D-351							"FBbt:00007134,head air sac; FBbt:00003101,tracheal air sac; FBbt:00004962,ejaculatory bulb; FBbt:00004511,antenna; FBbt:00005043,trachea; FBbt:00004546,maxillary palpus"
Ket-3		"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005073,somatic muscle"	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005518,somatic muscle primordium	FBbt:0000611,NA	"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005518,somatic muscle primordium"
crb		FBbt:00000185,embryonic/larval tracheal system	"FBbt:00005428,dorsal ectoderm anlage; FBbt:00004204,ventral ectoderm anlage; FBbt:00005427,ectoderm anlage"		FBbt:00005037,tracheal primordium	"FBbt:00015256,central brain anlage; FBbt:00000112,dorsal ectoderm"	"FBbt:00015256,central brain anlage; FBbt:00005037,tracheal primordium; FBbt:00015253,antennal anlage; FBbt:00004204,ventral ectoderm anlage; FBbt:00015248,dorsal head epidermis anlage; FBbt:00000112,dorsal ectoderm; FBbt:00005428,dorsal ectoderm anlage; FBbt:00005429,furrow canal; FBbt:00000185,embryonic/larval tracheal system; FBbt:00005434,visual anlage; FBbt:00005427,ectoderm anlage"
eve_1.7-lacZ							"FBbt:00000104,mesoderm anlage; FBbt:00000444,anterior midgut primordium; FBbt:00000111,ectoderm; FBbt:00000126,mesoderm; FBbt:00005304,blastoderm embryo; FBbt:00005427,ectoderm anlage"
eve_stripe2			FBbt:00000126,mesoderm				FBbt:00005304,blastoderm embryo
eve_EL							"FBbt:00001082,embryonic ventral nervous system; FBbt:00001572,EL neuron; FBbt:00001446,embryonic/larval neuron; FBbt:00001434,ganglion mother cell GMC1-1a"
eve_ftz-like			FBbt:00000126,mesoderm	FBbt:00000126,mesoderm		FBbt:00000126,mesoderm	FBbt:00005304,blastoderm embryo
eve_early_APR							"FBbt:00005748,embryonic anal pad; FBbt:00004844,anal plate"
eve_CQ/late_APR							"FBbt:00001082,embryonic ventral nervous system; FBbt:00001564,U neuron; FBbt:00001446,embryonic/larval neuron; FBbt:00005748,embryonic anal pad; FBbt:00004844,anal plate"
kn_knMel1599-1991		FBbt:00005073,somatic muscle					"FBbt:00001778,wing disc; FBbt:00001779,haltere disc; FBbt:00001761,imaginal disc"
vvl_vvl345							"FBbt:00005037,tracheal primordium; FBbt:00005036,tracheal pit"
vvl_vvl0.9							FBbt:00007021,embryonic/larval oenocyte precursor
vvl_vvl1+2							"FBbt:00005037,tracheal primordium; FBbt:00005036,tracheal pit; FBbt:00005574,tracheal branch primordium"
ey_5D11							"FBbt:00005807,dorsal pouch; FBbt:00001768,eye disc; FBbt:00001652,eye-antennal disc primordium; FBbt:00001930,embryonic/larval optic lobe; FBbt:00001102,ventral nerve cord"
ey_DO2							"FBbt:00001102,ventral nerve cord; FBbt:00001652,eye-antennal disc primordium; FBbt:00001930,embryonic/larval optic lobe; FBbt:00001768,eye disc"
CecA1_760-5prime							FBbt:00004965,ejaculatory duct
CecA1_111-5prime							FBbt:00005066,fat body
CecA1_prom							"FBbt:00001882,embryonic/larval midgut; FBbt:00001704,embryonic/larval fat body; FBbt:00001871,embryonic/larval proventriculus"
Stat92E_Mesos		FBbt:00001035,embryonic/larval visceral muscle	FBbt:0000611,NA	"FBbt:00000128,trunk mesoderm; FBbt:00000126,mesoderm; FBbt:00005542,central brain primordium"	"FBbt:00005519,visceral muscle primordium; FBbt:00005070,visceral muscle"	FBbt:00000126,mesoderm	"FBbt:00015247,dorsal head epidermis primordium; FBbt:00015255,ventral head epidermis primordium; FBbt:00005510,antennal primordium; FBbt:00001059,visual primordium; FBbt:00005519,visceral muscle primordium; FBbt:00005542,central brain primordium; FBbt:00000130,visceral mesoderm; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005073,somatic muscle; FBbt:00005070,visceral muscle; FBbt:00000128,trunk mesoderm; FBbt:00000129,somatic mesoderm; FBbt:00014203,lateral head epidermis primordium"
sli_800dH			FBbt:0000611,NA	FBbt:0000611,NA		FBbt:0000611,NA	"FBbt:00015911,frontal sac; FBbt:00007021,embryonic/larval oenocyte precursor; FBbt:00001315,midline glial cell"
sli_1.0_HV_NR			FBbt:0000611,NA	FBbt:0000611,NA		FBbt:0000611,NA	"FBbt:00016014,ventral midline glia primordium; FBbt:00001592,VUM neuron; FBbt:00001317,midline ventral glial cell; FBbt:00001315,midline glial cell"
spdo_spdoCRM3							"FBbt:00004580,mesothoracic tergum; FBbt:00001137,sensory mother cell"
spdo_954bp_CRM							"FBbt:00001766,eye-antennal disc; FBbt:00001778,wing disc; FBbt:00001780,ventral thoracic disc; FBbt:00005168,external sensory organ; FBbt:00004324,chordotonal organ of wing; FBbt:00005215,chordotonal organ"
abd-A_iab-2(1.7)							"FBbt:00005397,embryonic epidermis; FBbt:00001082,embryonic ventral nervous system; FBbt:00005304,blastoderm embryo"
Cyp6g1_construct5							"FBbt:00005786,Malpighian tubule; FBbt:00001896,embryonic/larval Malpighian tubule"
Cyp6g1_WT_upstream							"FBbt:00001882,embryonic/larval midgut; FBbt:00001704,embryonic/larval fat body; FBbt:00001896,embryonic/larval Malpighian tubule; FBbt:00005786,Malpighian tubule"
Cyp6g1_construct9							"FBbt:00001882,embryonic/larval midgut; FBbt:00001896,embryonic/larval Malpighian tubule"
Ubx_ABX_enhancer							"FBbt:00000111,ectoderm; FBbt:00005304,blastoderm embryo"
Ubx_abx1.7							"FBbt:00001766,eye-antennal disc; FBbt:00001765,clypeo-labral disc; FBbt:00001764,labial disc; FBbt:00001761,imaginal disc; FBbt:00001778,wing disc; FBbt:00001784,genital disc; FBbt:00001780,ventral thoracic disc; FBbt:00000111,ectoderm; FBbt:00001082,embryonic ventral nervous system; FBbt:00001779,haltere disc; FBbt:00005427,ectoderm anlage"
otp_C		FBbt:00005070,visceral muscle					"FBbt:00000441,hindgut proper primordium; FBbt:00005630,embryonic hindgut; FBbt:00005748,embryonic anal pad"
otp_bynHindgutModule		FBbt:00005070,visceral muscle					"FBbt:00005384,hindgut; FBbt:00005785,anal pad"
otp_P		FBbt:00005070,visceral muscle					"FBbt:00000441,hindgut proper primordium; FBbt:00005630,embryonic hindgut; FBbt:00005748,embryonic anal pad"
Mdr49		FBbt:00001035,embryonic/larval visceral muscle	"FBbt:00005436,trunk mesoderm anlage; FBbt:00000126,mesoderm; FBbt:00000104,mesoderm anlage"	FBbt:00005498,dorsal pharyngeal muscle primordium	"FBbt:00005498,dorsal pharyngeal muscle primordium; FBbt:00005519,visceral muscle primordium"		"FBbt:00005498,dorsal pharyngeal muscle primordium; FBbt:00005304,blastoderm embryo; FBbt:00000104,mesoderm anlage; FBbt:00005519,visceral muscle primordium; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005606,embryonic foregut; FBbt:00005436,trunk mesoderm anlage; FBbt:00005630,embryonic hindgut"
vas_minimalEnhancer							"FBbt:00004866,germarium; FBbt:00004865,ovary; FBbt:00004876,cystoblast; FBbt:00004894,egg chamber; FBbt:00004886,oocyte; FBbt:00004891,pole plasm; FBbt:00000092,pole cell"
kirre_-1.0							"FBbt:00001649,imaginal disc primordium; FBbt:00005084,muscle founder cell; FBbt:00005649,embryonic somatic muscle"
slp1_slp_B							"FBbt:00005304,blastoderm embryo; FBbt:00000126,mesoderm"
slp2_i2330				FBbt:0000611,NA	FBbt:00005541,cardiogenic mesoderm		"FBbt:00001056,presumptive embryonic/larval central nervous system; FBbt:00045021,ventrolateral neuropils; FBbt:00007143,eye disc posterior to the morphogenetic furrow; FBbt:00005058,pericardial cell; FBbt:00000126,mesoderm; FBbt:00007319,cardial cell; FBbt:00005304,blastoderm embryo; FBbt:00001332,embryonic neuroblast; FBbt:00003701,optic lobe"
sli_0.9_NC			FBbt:0000611,NA	FBbt:0000611,NA		FBbt:0000611,NA	"FBbt:00001882,embryonic/larval midgut; FBbt:00001082,embryonic ventral nervous system; FBbt:00005663,embryonic central brain glial cell; FBbt:00005624,embryonic/larval midgut primordium"
dpp_BS3.21							"FBbt:00005746,embryonic leading edge cell; FBbt:00005475,embryonic leading edge cell primordium"
dpp_BS3.22							FBbt:00000111,ectoderm
dpp_BS3.1							"FBbt:00004580,mesothoracic tergum; FBbt:00001779,haltere disc; FBbt:00001780,ventral thoracic disc; FBbt:00001766,eye-antennal disc"
dpp_construct10deltaA							FBbt:00001778,wing disc
dpp_dppho							FBbt:00001778,wing disc
eater_eaterGFP							"FBbt:00001685,plasmatocyte; FBbt:00001687,lamellocyte; FBbt:00001722,ring gland; FBbt:00005061,hemolymph"
Dll_FR1							"FBbt:00001657,ventral thoracic disc primordium; FBbt:00005378,wing margin; FBbt:00001780,ventral thoracic disc; FBbt:00004640,leg"
Dll_Fr3							"FBbt:00001767,antennal disc; FBbt:00005378,wing margin; FBbt:00004653,pretarsus; FBbt:00004158,maxillary palp sense organ; FBbt:00001780,ventral thoracic disc; FBbt:00001919,embryonic/larval central nervous system; FBbt:00004646,tarsal segment; FBbt:00000164,embryonic maxillary segment; FBbt:00004644,femur; FBbt:00004642,tibia"
Dll_Fr6							"FBbt:00005180,bract; FBbt:00004363,mesothoracic leg taste bristle; FBbt:00004421,metathoracic leg taste bristle; FBbt:00004253,prothoracic leg taste bristle"
Dll_Fr7							"FBbt:00001767,antennal disc; FBbt:00005378,wing margin; FBbt:00001878,embryonic/larval salivary gland; FBbt:00005397,embryonic epidermis; FBbt:00001780,ventral thoracic disc; FBbt:00005398,embryonic/larval epidermis; FBbt:00001919,embryonic/larval central nervous system; FBbt:00004653,pretarsus; FBbt:00004646,tarsal segment; FBbt:00004644,femur; FBbt:00004642,tibia"
sc_SMC			FBbt:0000611,NA	FBbt:0000611,NA		FBbt:0000611,NA	"FBbt:00001137,sensory mother cell; FBbt:00001134,presumptive embryonic/larval peripheral nervous system; FBbt:00001761,imaginal disc; FBbt:00001778,wing disc; FBbt:00004580,mesothoracic tergum; FBbt:00005164,external sensory organ precursor cell"
hh_4075				FBbt:0000611,NA	FBbt:00005541,cardiogenic mesoderm		"FBbt:00007319,cardial cell; FBbt:00000111,ectoderm; FBbt:00005058,pericardial cell"
hh_modA				FBbt:0000611,NA	FBbt:00005541,cardiogenic mesoderm		FBbt:00001778,wing disc
Unspecified_4725		FBbt:00005073,somatic muscle	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005073,somatic muscle	FBbt:0000611,NA	FBbt:00005073,somatic muscle
Nrt_8563		FBbt:00005070,visceral muscle	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005070,visceral muscle	FBbt:0000611,NA	FBbt:00000130,visceral mesoderm
