elementName	stage1-3	stage13-16	stage4-6	stage9-10	stage11-12	stage7-8	allTerms
VT54828.1		"FBbt:00005628,embryonic midgut chamber; FBbt:00000155,embryonic head"	FBbt:0000611,NA	"FBbt:00000210,anterior endoderm anlage; FBbt:00000447,posterior endoderm anlage"		"FBbt:00000210,anterior endoderm anlage; FBbt:00000447,posterior endoderm anlage"	"FBbt:00000155,embryonic head; FBbt:00005628,embryonic midgut chamber; FBbt:00000210,anterior endoderm anlage; FBbt:00000447,posterior endoderm anlage"
VT54828.2		"FBbt:00005628,embryonic midgut chamber; FBbt:00000155,embryonic head"	FBbt:0000611,NA	"FBbt:00000210,anterior endoderm anlage; FBbt:00000447,posterior endoderm anlage"		"FBbt:00000210,anterior endoderm anlage; FBbt:00000447,posterior endoderm anlage"	"FBbt:00000155,embryonic head; FBbt:00005628,embryonic midgut chamber; FBbt:00000210,anterior endoderm anlage; FBbt:00000447,posterior endoderm anlage"
VT54832.1		"FBbt:00005747,embryonic ventral epidermis; FBbt:00005628,embryonic midgut chamber"	FBbt:0000611,NA	FBbt:00005533,ventral epidermis primordium	"FBbt:00005533,ventral epidermis primordium; FBbt:00000155,embryonic head"	FBbt:00004204,ventral ectoderm anlage	"FBbt:00005628,embryonic midgut chamber; FBbt:00004204,ventral ectoderm anlage; FBbt:00005747,embryonic ventral epidermis; FBbt:00000155,embryonic head; FBbt:00005533,ventral epidermis primordium"
VT54832.2		"FBbt:00005747,embryonic ventral epidermis; FBbt:00005628,embryonic midgut chamber"	FBbt:0000611,NA	FBbt:00005533,ventral epidermis primordium	"FBbt:00005533,ventral epidermis primordium; FBbt:00000155,embryonic head"	FBbt:00004204,ventral ectoderm anlage	"FBbt:00005628,embryonic midgut chamber; FBbt:00004204,ventral ectoderm anlage; FBbt:00005747,embryonic ventral epidermis; FBbt:00000155,embryonic head; FBbt:00005533,ventral epidermis primordium"
VT54835.1		FBbt:00005070,visceral muscle	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:00005070,visceral muscle
VT54840.1		"FBbt:0000632,embryonic lateral epidermis; FBbt:00005752,proventriculus"	FBbt:0000611,NA	"FBbt:0000632,embryonic lateral epidermis; FBbt:00005533,ventral epidermis primordium"	"FBbt:00005526,dorsal epidermis primordium; FBbt:00005533,ventral epidermis primordium"	FBbt:0000611,NA	"FBbt:0000632,embryonic lateral epidermis; FBbt:00005526,dorsal epidermis primordium; FBbt:00005752,proventriculus; FBbt:00005533,ventral epidermis primordium"
VT54840.2		"FBbt:0000632,embryonic lateral epidermis; FBbt:00005752,proventriculus"	FBbt:0000611,NA	"FBbt:0000632,embryonic lateral epidermis; FBbt:00005533,ventral epidermis primordium"	"FBbt:00005526,dorsal epidermis primordium; FBbt:00005533,ventral epidermis primordium"	FBbt:0000611,NA	"FBbt:0000632,embryonic lateral epidermis; FBbt:00005526,dorsal epidermis primordium; FBbt:00005752,proventriculus; FBbt:00005533,ventral epidermis primordium"
VT54841.1		"FBbt:00001882,embryonic/larval midgut; FBbt:00005744,embryonic dorsal epidermis; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005526,dorsal epidermis primordium; FBbt:00004204,ventral ectoderm anlage"	"FBbt:00005526,dorsal epidermis primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005744,embryonic dorsal epidermis; FBbt:00004204,ventral ectoderm anlage; FBbt:00005662,embryonic central brain; FBbt:00001882,embryonic/larval midgut; FBbt:00005526,dorsal epidermis primordium; FBbt:00005542,central brain primordium"
VT54841.2		"FBbt:00001882,embryonic/larval midgut; FBbt:00005744,embryonic dorsal epidermis; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005526,dorsal epidermis primordium; FBbt:00004204,ventral ectoderm anlage"	"FBbt:00005526,dorsal epidermis primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005744,embryonic dorsal epidermis; FBbt:00004204,ventral ectoderm anlage; FBbt:00005662,embryonic central brain; FBbt:00001882,embryonic/larval midgut; FBbt:00005526,dorsal epidermis primordium; FBbt:00005542,central brain primordium"
VT54841.3		"FBbt:00001882,embryonic/larval midgut; FBbt:00005744,embryonic dorsal epidermis; FBbt:00005662,embryonic central brain"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005526,dorsal epidermis primordium; FBbt:00004204,ventral ectoderm anlage"	"FBbt:00005526,dorsal epidermis primordium; FBbt:00005542,central brain primordium"	FBbt:0000611,NA	"FBbt:00015256,central brain anlage; FBbt:00005744,embryonic dorsal epidermis; FBbt:00004204,ventral ectoderm anlage; FBbt:00005662,embryonic central brain; FBbt:00001882,embryonic/larval midgut; FBbt:00005526,dorsal epidermis primordium; FBbt:00005542,central brain primordium"
